A,TC,P,R
4.91,9.987,3.927,46.71
5,8.881,3.872,55.11
4.9,8.202,4.168,52.01
3.439,8.198,6.2,86.09
3.583,6.975,6.1,83.22
3.686,5.361,6.32,84.51
7.55,9.129,3.2,76.99
7.6,4.93,3.31,76.88
7.44,4.64,3.22,78.99
2.58,4.05,4.55,73.12
2.662,4.123,5.11,64.33
2.923,3.921,4.76,70.55
2.1,6.163,4.91,54.98
2.2,8.028,4.9,53.778
2.11,7.717,4.92,57.799
